time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.104,-325708.53,0.022460938,1141.5006,0.0013733357,0.6617519,10.408838,0.020125447,-7.448564,-325708.56,0,5
0.105,-325444.03,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-7.368923,-325444.06,0,5
0.106,-327341.03,0.022460938,1141.5006,0.0024414808,0.6617519,10.408838,0.020125447,-7.049361,-327341.06,0,5
0.107,-327525.94,0.022460938,1141.5006,0.001068145,0.6617519,10.408838,0.020125447,-7.129335,-327525.97,0,5
0.108,-329918.66,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-6.053354,-329918.7,0,5
0.109,-327297.47,0.022460938,1141.5006,0.0028992444,0.6617519,10.408838,0.020125447,-7.0097075,-327297.5,0,5
0.11,-327360.94,0.022460938,1141.5006,0.0019837022,0.6617519,10.408838,0.020125447,-7.089681,-327360.97,0,5
0.111,-326625.38,0.022460938,1141.5006,0.0019836873,0.6617519,10.408838,0.020125447,-7.408577,-326625.4,0,5
0.112,-326411.62,0.022460938,1141.5006,0.0025940686,0.6617519,10.408838,0.020125447,-7.169655,-326411.66,0,5
0.113,-326673.25,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-6.5715175,-326673.28,0,5
0.114,-328610.75,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-5.3372545,-328610.78,0,5
0.115,-324238.03,0.022460938,1141.5006,0.0030518472,0.6617519,10.408838,0.020125447,-7.5661926,-324238.06,0,5
0.116,-325225.84,0.022460938,1141.5006,0.0015259236,0.6617519,10.408838,0.020125447,-8.202984,-325225.88,0,5
0.117,-322997.84,0.022460938,1141.5006,0.0013733357,0.6617519,10.408838,0.020125447,-8.719482,-322997.88,0,5
0.118,-325071.25,0.022460938,1141.5006,0.0024414808,0.6617519,10.408838,0.020125447,-7.0070424,-325071.28,0,5
0.119,-324222.34,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-7.524207,-324222.38,0,5
0.12,-323871.5,0.022460938,1141.5006,0.0013733208,0.6617519,10.408838,0.020125447,-7.086683,-323871.53,0,5
0.121,-325194.34,0.022460938,1141.5006,0.0019837022,0.6617519,10.408838,0.020125447,-6.68848,-325194.38,0,5
0.122,-323333.2,0.022460938,1141.5006,0.002136305,0.6617519,10.408838,0.020125447,-7.2869506,-323333.22,0,6
0.123,-323007.12,0.022460938,1141.5006,0.00076296926,0.6617519,10.408838,0.020125447,-6.809107,-323007.16,0,6
0.124,-322536.75,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-7.5258727,-322536.78,0,6
0.125,-321505.72,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-7.3669243,-321505.75,0,6
0.126,-320378.97,0.022460938,1141.5006,0.00091555715,0.6617519,10.408838,0.020125447,-8.043703,-320379.0,0,6
0.127,-319168.28,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-8.083024,-319168.3,0,6
0.128,-317990.53,0.022460938,1141.5006,0.0022888929,0.6617519,10.408838,0.020125447,-7.883089,-317990.56,0,6
0.129,-320017.5,0.022460938,1141.5006,0.0012207478,0.6617519,10.408838,0.020125447,-7.206977,-320017.53,0,6
0.13,-316902.16,0.022460938,1141.5006,0.0030518472,0.6617519,10.408838,0.020125447,-8.440241,-316902.2,0,6
0.131,-314900.62,0.022460938,1141.5006,0.0025940686,0.6617519,10.408838,0.020125447,-8.440907,-314900.66,0,6
0.132,-315433.03,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-7.684488,-315433.06,0,6
0.133,-315465.88,0.022460938,1141.5006,0.0022888929,0.6617519,10.408838,0.020125447,-7.8031154,-315465.9,0,6
0.134,-314949.8,0.022460938,1141.5006,0.0024414808,0.6617519,10.408838,0.020125447,-7.884755,-314949.84,0,6
0.135,-315172.03,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-7.8834224,-315172.06,0,6
0.136,-313510.5,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-8.043036,-313510.53,0,6
0.137,-313093.25,0.022460938,1141.5006,0.002288878,0.6617519,10.408838,0.020125447,-7.6455,-313093.28,0,6
0.138,-312473.03,0.022460938,1141.5006,0.0024414808,0.6617519,10.408838,0.020125447,-7.5655265,-312473.06,0,6
